displacement,horsepower,weight,cylinders,modelYear,drivetrain,transmission,mpg
1.9,138,2500,4,2023,3,1,50
3.6,303,2898,8,2018,1,1,32.5
1.4,179,2435,4,1990,3,1,44.9
1.6,141,2367,4,1977,2,0,41.8
1.6,148,2668,3,2013,2,1,48.1
1.6,155,2525,4,2007,0,2,47.2
1.9,133,2232,4,2001,3,2,47.3
2.2,211,2909,6,1996,3,2,36.9
1.6,140,2756,4,2018,2,2,47.3
1.4,154,2838,4,1979,0,2,40.2
1.2,147,2941,3,2018,2,1,47.4
1.9,180,3041,4,1993,3,0,39.8
2.8,190,3191,6,1991,0,1,35.4
4.4,382,3420,10,1984,2,2,17.2
3.9,386,3305,10,2002,0,0,23.6
4.4,366,3790,10,1990,1,0,17.5
3.2,252,2947,8,1978,0,2,28.7
2.4,218,3199,6,1986,1,1,34.9
2.5,209,2856,6,2010,1,0,40.2
1.9,196,2590,4,1972,1,0,38.2
3.2,262,3544,8,2006,1,1,30.3
3.5,262,3480,8,1984,1,0,24.6
4.4,397,3837,10,2007,0,0,17.8
2.1,256,2636,6,2013,3,2,39.7
1.7,114,3038,4,1972,1,0,38.2
2.4,256,3139,6,1999,1,1,34.5
2,140,2507,4,1980,1,1,41.5
1.7,160,2685,4,1998,1,2,44.5
2.4,222,2399,6,1975,2,0,34
3.4,286,2775,8,1990,0,2,32.4
4.7,458,3193,12,1995,1,0,14.2
1.4,162,2599,4,1975,1,2,42.9
1.7,111,2654,4,2003,0,0,49
4.7,442,4009,12,2009,0,1,16.6
3.4,292,3299,8,2024,0,1,32.2
1.9,129,2174,4,1975,1,2,43.9
1.5,97,2638,3,1973,0,2,43.4
1.3,120,2513,4,1972,1,1,41.8
1.8,188,2217,4,1987,0,1,44.9
4.5,392,3256,12,1975,2,0,13.1
3.9,401,3000,10,1978,2,2,20.8
2,130,3016,4,1986,0,2,39.9
1.7,89,2553,3,2013,0,2,52.2
1,128,2851,3,1989,1,1,46.4
1.9,120,2954,4,1976,1,1,39.1
4.9,473,3558,12,1980,3,1,9
2.6,212,2828,6,1998,2,1,38.9
1.7,168,2815,4,2022,0,2,46.9
1.8,135,3049,4,1985,1,1,39.9
2.7,193,2945,6,2023,1,1,42.1
3,257,3110,8,1999,2,0,33.1
1.8,167,2747,4,1985,2,2,41.1
4.5,431,3683,12,1972,0,0,9
2,160,2905,4,2021,3,2,46.8
5,466,3162,12,1994,2,0,13.3
2.1,213,2446,6,1984,0,1,38.2
4.6,409,3449,12,1998,1,2,16.6
4,370,2926,10,1993,3,1,22.8
3,265,3317,8,1973,1,2,25.9
1.9,155,3141,4,1985,3,1,39.9
3.5,275,2903,8,2002,3,1,30
2.3,200,2534,6,2007,3,0,42.7
2.5,227,3270,6,2000,1,1,37.2
2.2,188,3034,6,1994,0,1,38.2
3.3,296,3294,8,1973,2,1,23.5
1.6,130,2246,4,1987,3,1,46.7
3.3,284,2781,8,2015,3,2,35.1
4.8,425,3085,12,1999,1,0,19.5
1.7,155,3077,4,1971,2,0,36.6
1.4,137,2532,4,2018,1,0,49.8
4.1,357,3767,10,2007,0,1,22
1.5,167,3045,4,1978,2,1,40
3.2,299,2780,8,1986,1,0,29.3
1.4,147,2072,4,2004,3,0,48.8
2.1,224,3109,6,1991,3,1,34.9
1.7,128,2483,4,1990,0,1,45.8
1.2,154,2850,3,1992,1,0,44.2
1.5,126,2366,4,2022,3,1,52.8
2.5,260,2899,6,1975,1,2,30.8
1.4,197,2489,4,1970,1,2,40.1
1,80,2852,3,1989,1,1,46.4
3.2,267,2729,8,1971,0,2,30.1
4.3,396,3018,10,1985,1,0,19.6
1.8,200,3050,4,1993,2,0,37.2
2.2,249,2624,6,1990,0,2,38.1
3.7,268,3027,8,2005,2,0,29.9
1.5,142,2655,4,1976,2,1,39.5
2.8,266,2816,6,2021,3,2,40.9
2.1,136,2514,4,1991,1,1,45.2
3.9,389,2820,10,1977,1,2,20.9
1.6,108,2132,3,2024,2,0,54.3
3,302,3457,8,2000,1,0,28.3
4.6,393,3617,12,1989,0,2,16.4
1.7,186,2734,4,1997,0,1,43.7
1.6,130,2190,4,2024,0,1,52.3
2.4,213,2691,6,1986,1,2,36.4
1,109,2580,3,1989,0,1,46.2
2.9,249,2575,6,1970,3,1,31.2
4.8,424,3608,12,2007,3,2,16
2.8,250,2911,6,2008,1,2,36.9
1.8,192,2423,4,1985,1,0,41.8
5,433,3734,12,1987,3,1,12
2.7,220,3263,6,1992,0,1,35.3
5.2,465,3868,12,1998,1,2,13.8
1.5,176,2549,4,2004,3,2,43.8
1,108,2207,3,1996,2,0,51.4
3.5,277,3400,8,2010,3,2,31.2
2.3,225,2861,6,2010,2,1,39
1.6,175,2244,4,2005,0,1,48.7
1.6,114,3050,4,1990,1,0,42.9
4.7,447,3287,12,2015,2,2,20.9
2.1,268,2345,6,1999,2,1,37.6
3.4,256,2913,8,1998,3,2,31.3
2.3,265,2414,6,1976,1,1,34.9
1.1,85,2915,3,1972,1,2,44.7
1.9,124,2219,4,1981,1,1,44.5
4.5,460,3614,12,2009,2,1,17.6
2.6,206,2549,6,1998,2,0,40.5
2.1,246,3201,6,2009,0,2,39.8
1.7,136,2998,3,1999,1,1,44.6
4.9,419,3446,12,1971,1,1,12.1
1.5,168,2337,4,2004,1,0,48.9
1.5,173,2875,4,1978,0,1,38.9
2.3,229,2554,6,1973,1,1,33.5
2.1,144,2592,4,2008,1,0,46.9
3.7,357,3338,10,2016,0,0,25.5
1.7,112,3056,4,2012,0,0,45
1.9,121,2953,4,2009,2,2,45.7
1.3,162,2337,3,1983,1,0,43.1
1.5,114,2417,3,1997,1,0,47.4
3.3,335,3517,8,2001,0,0,26.7
1.6,82,3040,3,1978,2,0,41.5
1.6,129,2607,4,1976,2,2,43.2
1,108,1962,3,1972,2,2,47.2
2.8,200,2506,6,1976,3,1,35.2
1.8,148,2995,4,1979,3,2,39.3
5,449,3290,12,1970,2,0,10.7
1.5,200,2156,4,2009,2,1,46.5
3.5,256,3400,8,2003,0,2,30.6
1.8,158,2494,4,2011,3,1,47.8
1.6,183,2893,4,1995,1,0,40.9
4.6,460,3237,12,1991,1,1,16.4
2.4,211,3283,6,2018,0,0,38.2
4.8,415,3114,12,1972,3,1,14.7
1.4,156,2050,3,1977,1,2,46.7
1.7,191,2266,4,1985,3,2,44.2
2,195,2589,4,1980,1,2,39.3
2.1,129,2625,4,1990,0,0,42.9
2.4,236,2475,6,2002,1,0,40.5
3.1,308,3033,8,1980,2,1,24.8
1.9,157,2530,4,1999,0,1,45.7
2.2,204,3006,6,2007,1,2,39.1
1.6,194,3066,4,2011,3,0,42.5
4.4,361,3853,10,2023,1,0,22.7
1.6,83,2925,3,1990,0,0,45.2
3.5,309,2942,8,1997,3,2,28.4
1.3,136,2445,3,2014,2,2,50.4
5.2,407,3719,12,1975,2,0,10.8
2.3,219,2415,6,2000,3,2,41.5
1.5,145,2810,4,2015,0,1,46.6
3.7,272,3241,8,1999,3,0,29.2
4,330,2839,10,1983,1,2,25.6
2,160,2983,4,2023,0,1,48.5
1.4,176,2982,4,1994,2,2,42.6
4.7,409,3510,12,2018,2,0,19.7
1.8,194,2164,4,2022,3,0,50
2.5,238,3149,6,2014,2,1,39.3
2,168,2734,4,1974,2,1,39.5
1.3,76,2224,3,1999,1,1,52.7
1.5,116,2144,4,2019,2,1,52.5
4.9,441,3317,12,2002,3,1,16.5
2.6,247,3273,6,1999,3,1,34.8
3.9,342,3395,10,2024,1,1,27.4
1.9,187,2625,4,1998,3,0,43.5
3.7,254,2934,8,1998,1,2,31.1
1.3,182,2395,4,2003,1,2,45.7
1.9,144,2745,4,2022,0,2,47.8
2.5,238,2541,6,1997,2,0,37.1
2.4,198,2970,6,1986,1,2,35.4
4.3,408,3738,10,1971,0,2,12.4
1.6,166,2851,4,1989,1,1,42.9
4.1,321,3468,10,2011,3,2,23.9
1.5,164,2377,4,1970,0,2,42.7
4.3,327,2911,10,1988,1,1,23.4
2.5,266,2455,6,1990,2,2,35.6
1.1,92,2727,3,1986,3,2,45.2
5.1,474,3761,12,1991,3,2,9.7
1.7,160,2637,4,1994,0,0,45.3
1.8,161,2858,4,1981,1,0,41
1.9,114,2520,4,1983,2,0,44
1.6,175,2492,4,1986,3,1,40.8
3.2,284,2906,8,2000,1,1,32.5
3.2,257,2837,8,2011,3,0,32.8
4,385,2934,10,1994,1,0,22.9
1.9,178,2627,4,1994,0,1,41.8
3.4,330,2900,8,1977,1,2,24.9
1.3,150,2485,4,2019,2,2,49.2
3.7,327,3279,8,1982,2,2,22.8
3.4,335,3087,8,2006,0,2,29.7
2.7,242,3000,6,2007,1,2,35.9
3.6,299,2702,8,2014,0,0,34.9
1.5,126,2944,4,1996,3,0,43.9
4.6,427,3414,12,1990,2,0,15.2
1.4,117,2689,4,1973,3,2,41.1
4.9,415,3104,12,1989,1,2,17.6
1.6,192,2381,4,1981,1,0,42.5
1,163,2684,3,2011,2,2,49.8
3.6,260,3376,8,1981,1,2,27.2
1.4,195,2253,4,1987,2,0,43.7
4.5,437,3605,12,2003,2,0,15.4
2.4,250,2502,6,2004,0,2,40.5
2,132,3014,4,1976,0,0,39.6
3.5,297,3403,8,1991,0,0,25.9
2.9,303,3222,8,1996,3,0,28.8
1.6,198,2733,4,2022,0,1,48.8
2.7,264,3082,6,2024,3,2,38.3
2.8,201,2936,6,2004,2,2,38.7
2.1,209,2826,6,2016,1,1,43.5
3.8,340,2837,10,2018,1,1,29.9
1.7,115,2822,4,1988,3,1,44.1
3.2,310,2932,8,1979,2,1,25.6
5.1,406,3938,12,1994,3,0,11.4
3.3,267,2661,8,2024,3,2,38.1
2.5,244,2477,6,2023,0,1,42
2.1,170,2530,4,1975,2,1,39.3
1.6,148,2443,3,1985,2,1,45.5
2.4,211,2549,6,1998,1,2,40.7
2.8,182,3124,6,1998,3,2,38.3
1.9,183,2359,4,1987,1,2,44
1.5,163,2906,3,2000,1,0,42.8
2.3,208,2828,6,2015,2,2,41.2
3.5,283,2880,8,2001,3,1,31.7
2,111,2640,4,2003,2,2,46.4
1.7,115,2249,4,1995,3,1,47.2
1.3,153,2966,4,1983,2,2,41.8
1,145,2099,3,1983,1,1,46.1
5,425,3161,12,1978,3,1,11.6
3.6,255,3613,8,1982,0,0,26.4
4.3,396,3152,10,1985,2,0,18.3
4.4,358,3587,10,1987,3,2,19
2.1,195,3151,6,1999,3,0,38.5
1.5,154,2907,4,1989,2,0,43
3.3,320,3358,8,2015,3,2,31.6
2.3,252,2863,6,2009,0,2,39.6
3.5,252,3392,8,2019,2,0,32.8
2,180,2573,4,1973,2,1,39.7
4.1,366,2982,10,1970,0,0,20.4
3.3,301,2599,8,2011,1,2,35.9
3.6,301,2958,8,1998,0,1,29.1
1.8,198,2508,4,1996,3,0,41.4
3.4,288,3619,8,1978,3,0,23.3
1.8,134,2809,4,1980,3,0,41.5
2,200,2472,4,2011,1,0,46.6
3.3,330,3246,8,2003,0,2,28.8
2.7,229,2489,6,2017,2,0,42.1
5,444,3600,12,2001,3,0,14.6
1.2,158,2934,3,1972,2,0,39.2
1.5,183,2152,4,1970,0,1,40.3
3.2,276,3275,8,2002,2,0,31.2
4.2,333,3471,10,2008,0,0,24.3
4.8,473,3504,12,2011,0,0,17.5
4.5,404,3788,10,1973,2,2,11.5
2.3,184,2803,6,1987,2,0,36
2.8,219,2717,6,2018,3,2,40
1.7,115,2505,4,2012,2,2,50.8
2,148,2949,4,2006,2,2,43
1.8,170,2430,4,2022,0,1,48.2
5.2,426,3737,12,2020,1,2,18.4
4.6,413,3300,12,1970,2,2,14.4
4.1,393,2852,10,2022,2,1,27.7
1.9,167,2692,4,1983,1,0,38.9
3.4,275,2771,8,1977,3,0,26
1.5,163,2991,3,1981,1,0,39.1
2.1,210,2579,6,1989,3,1,37.3
4.1,362,3793,10,1990,1,2,17.9
2,145,2510,4,2022,2,2,49.6
1.7,131,2290,4,2016,0,2,53.3
2.1,163,2329,4,1997,2,2,44.4
2.8,185,2960,6,2014,2,1,41.6
4,387,3306,10,2006,0,2,22.6
2.3,244,2383,6,2005,2,1,41.4
3.9,324,3134,10,2022,0,0,30.1
1.1,78,2293,3,2019,0,2,55.5
1.5,157,2659,4,1970,3,1,39.2
1.8,125,2763,4,2021,1,1,51
2,144,2790,4,1986,2,2,41.2
1,83,2856,3,1978,0,2,46.8
1.9,115,2617,4,2005,3,1,46.5
2,190,2203,4,2003,3,0,46.3
4.6,447,3540,12,1985,3,2,12.6
5,391,3856,12,2012,3,1,15.5
5.2,415,3716,12,1983,2,1,10.9
2.5,204,2665,6,2019,1,0,43.5
4.8,453,3712,12,1988,2,0,10.8
4.4,379,3904,10,2004,1,2,19.1
2.1,111,2579,4,2023,1,1,51.2
2.2,267,2444,6,2017,2,2,41.6
4.7,463,3218,12,2019,3,0,19.8
1.6,133,2881,4,1993,3,0,41.3
1.3,115,2336,4,2018,0,0,52.4
1,81,2826,3,2012,3,1,49.8
2.2,253,2829,6,2014,1,0,39
2.9,202,2747,6,1994,1,1,35.8
2.4,210,2872,6,2019,3,2,40.1
3.2,335,3494,8,2021,2,0,31
2,126,2906,4,1970,2,2,39.2
1.9,144,3140,4,1999,0,1,42.4
3.4,263,3365,8,2024,2,1,34.9
2.4,186,2955,6,2009,3,1,39.8
3.9,347,2918,10,2007,2,1,27.1
3,324,3436,8,2019,3,1,31.7
2.7,212,2428,6,1977,1,2,37
3,296,3435,8,2020,1,1,32.7
1.8,196,2250,4,1976,3,1,39.8
1.1,118,2005,3,1990,0,2,50.5
3.9,321,3540,10,2021,1,1,28.6
4.4,398,3422,10,1993,2,2,18.8
2.4,251,2852,6,1974,0,0,33.7
1.4,146,2062,4,1980,1,1,47.2
2.4,191,2633,6,1989,1,2,40.7
2.7,195,2491,6,1987,2,1,38.2
3.9,408,3540,10,2016,2,1,23.2
1.4,184,2526,4,1996,0,0,43.7
2.7,193,2538,6,1997,1,2,40.6
3.9,409,3053,10,2007,2,2,23.2
2.2,244,3023,6,1981,2,1,33.4
2.6,252,2782,6,1979,2,1,31
3.3,284,3138,8,2002,1,2,29.6
2.3,247,2927,6,1998,0,2,38.1
1.9,163,2375,4,2019,2,2,48.5
1.4,84,2186,3,2005,0,2,54.4
3.4,297,3079,8,1982,1,1,26.1
1.5,146,2643,4,2012,3,2,46.8
5.3,423,3465,12,1982,2,1,11.9
4.7,437,3911,12,2011,0,0,17
1.9,111,3125,4,1972,2,2,39.6
2.9,262,2903,8,2008,2,0,35.2
2.1,167,2563,4,1975,2,1,37.8
1.8,146,3074,4,2021,2,2,45.8
1.1,135,2665,3,2023,3,0,52.2
2,199,3159,4,2001,1,1,40.8
1.7,95,2963,3,2012,0,0,48.1
5.2,478,3301,12,1990,2,2,14.4
4.8,414,3274,12,1985,1,1,15.1
3,306,3443,8,2009,3,0,28.8
3.6,331,3282,8,1979,3,2,22.8
1.9,180,3006,4,1980,2,1,36.4
1.7,189,2447,4,1977,1,1,42.4
1.9,139,3106,4,1977,1,1,38.1
1.6,178,2728,4,1985,1,0,40.7
4.7,425,3340,12,1977,2,1,13.9
2,149,2500,4,1971,0,1,39.6
1.5,192,2120,4,2012,1,1,48.2
1,161,2720,3,1999,1,1,48.3
2.6,253,2773,6,2010,1,1,38.8
4.4,350,3702,10,1979,3,2,16.8
4,368,3011,10,1987,2,2,23.7
4.7,444,3028,12,2015,3,0,21.1
1.5,89,2710,3,2010,0,1,50.7
1.9,145,3039,4,1980,2,0,36.9
1.8,161,2256,4,2008,2,2,47.5
2.1,110,2498,4,1972,1,1,43.3
2.4,197,3232,6,1970,1,0,29.6
1.1,126,2365,3,1989,0,0,46.6
2.7,229,3027,6,2007,1,1,36.5
1.5,111,2721,4,1978,0,0,42.5
4.2,397,3804,10,1999,2,2,20.1
4.1,356,3767,10,2005,1,1,23
3.3,290,3484,8,2004,0,2,28
1.7,123,2251,4,1997,2,2,48.9
3.8,361,3334,10,1978,0,0,18.2
2.3,214,2965,6,1972,0,0,31.2
1.8,183,2777,4,2021,1,0,46.4
1.4,115,2080,4,2013,0,0,51.5
1.7,143,3010,4,2017,3,0,46.8
1.6,143,2085,3,2021,3,2,53.9
1.8,122,2468,4,2019,0,2,51.8
3.9,369,3537,10,2014,2,2,25.1
1.6,113,2380,3,2006,2,1,51
2.6,248,2886,6,1972,1,2,30
3.5,293,3601,8,2003,1,2,28.6
5.2,440,4147,12,1980,2,0,9
1.7,137,3099,4,2013,1,0,44.5
1.5,162,2300,3,2023,0,0,51.4
2.9,297,2894,8,2007,1,1,34.2
2.8,212,3161,6,2006,1,0,37.9
1.3,114,2587,4,1986,1,0,43.7
2,181,2879,4,1987,2,2,39.9
1.5,187,2370,4,1972,1,0,39.2
2.3,191,3160,6,1999,2,2,36.5
1.7,132,2850,4,2022,2,2,48.5
1.3,128,2031,4,1988,1,1,46.9
3.6,300,3566,8,1987,3,1,23.3
2.8,215,3098,6,2019,0,2,39.3
2.2,261,2891,6,2007,2,0,36.3
2.4,228,2667,6,2014,2,0,41
1,138,1902,3,1992,2,2,49.2
4.3,340,3605,10,2007,2,1,21.4
1.6,155,2664,4,1997,0,1,45.4
4.1,396,3599,10,1974,0,1,15.3
2.7,264,2775,6,1987,3,2,34.4
1.2,157,2022,3,1989,0,2,48.6
3.1,326,3344,8,1970,3,0,20
3.9,347,3704,10,2000,2,1,21.7
1.7,170,2685,4,2021,2,0,46
1.3,85,2396,3,2012,1,1,54.1
1.4,125,2894,4,2001,3,0,45.1
4.8,454,3693,12,1984,1,0,12.5
2.3,252,2421,6,2018,3,0,40.9
1.9,194,3118,4,1980,0,0,37.3
4.3,394,3665,10,1981,3,0,13.4
1.6,92,2502,3,1987,1,0,47.5
4,365,3670,10,1975,1,1,18.4
2,162,3161,4,2008,2,0,40.7
1.9,198,2763,4,1980,3,1,37.2
2.7,234,3028,6,1976,0,1,33
1.8,118,2670,4,2016,2,2,50.7
1.6,192,2225,4,1996,2,1,43.4
3.5,320,3540,8,2013,3,0,29.5
1,112,2882,3,1970,0,1,44
3.4,290,2873,8,2024,1,2,36.8
4.6,442,3477,12,2019,1,2,21
2.8,253,3188,6,1988,3,2,33.1
1.6,190,2416,4,1990,2,2,44.2
2.1,172,3189,4,1996,1,0,40.9
4.7,428,3465,12,2010,2,1,16.8
3.1,303,3265,8,2008,2,1,31.4
3.1,312,3007,8,1995,3,0,28.2
1.8,129,2825,4,2003,0,2,45.8
3.4,259,3325,8,1982,0,0,27.6
3,333,3482,8,2001,3,1,25.7
3.6,285,3675,8,1974,2,1,20.9
1.8,151,3058,4,1989,0,1,42.3
3.6,268,3000,8,2003,2,0,31.6
5.2,421,4127,12,2003,3,2,14
1.6,160,2509,4,2013,2,2,48.8
1.2,104,2928,3,1970,1,2,42.4
1.7,128,2694,4,2006,2,2,45.4
1.5,129,2825,4,2024,0,2,51.9
3.5,294,3112,8,1992,3,1,29.2
1.8,156,2284,4,2010,1,2,50
1.8,126,2467,4,1975,2,2,40.9
1.2,146,2472,3,2004,3,2,49.5
2.3,268,3053,6,1993,3,2,32.5
2.5,252,2851,6,2012,0,1,38.9
1.4,171,2720,4,2009,2,2,46.1
2.6,225,2543,6,1989,1,0,38
1.6,98,2754,3,1998,1,1,46
1.8,168,2721,4,2008,0,0,45.6
2.1,133,3095,4,2021,2,0,45.2
1.5,80,2473,3,2013,3,1,53.2
3.4,296,3161,8,1971,1,2,25.1
1.6,183,2635,4,2021,1,0,48.2
2.1,179,2445,4,1985,3,0,40.5
3.6,317,3175,8,2017,0,2,32
3.6,330,2800,8,1992,1,0,28.4
1.9,150,2775,4,1986,1,2,40.9
3,268,2734,8,2010,0,0,36.5
2.5,265,2936,6,2005,1,1,35.1
2.9,294,3157,8,1992,1,2,29.7
2,139,3160,4,1975,2,0,38.2
1.6,121,2853,4,1988,3,2,43.1
1.7,119,2877,4,1998,2,1,44.4
1.3,119,2727,3,2011,3,1,48.3
2,187,2243,4,2001,3,1,43.3
1.6,182,2223,4,2006,2,1,47.4
1.9,197,3116,4,2003,1,1,40.6
2.4,197,3069,6,2017,0,0,42.6
1.5,113,2816,4,1994,1,0,43.9
1.5,184,2154,4,1991,3,2,43.3
1.9,133,2789,4,1997,0,0,45.6
1.7,121,2514,4,2012,1,2,49.4
1.5,102,2160,3,1997,0,2,51.1
2.8,226,2550,6,1999,2,2,38.5
2.5,189,3216,6,1983,3,0,32.3
1.2,164,2730,3,1975,1,1,41.3
3.6,271,3234,8,1975,3,0,24.9
2.2,244,2416,6,1976,3,0,34.5
3.1,308,3423,8,1974,1,2,25.7
2.1,146,2460,4,2020,1,2,49.1
2.3,189,3253,6,2012,3,0,37.3
2.3,259,2876,6,1990,3,1,32.4
2.4,240,2624,6,1989,0,1,35.3
1.4,160,2612,3,2022,3,1,50.2
3.6,301,3277,8,1981,0,2,27.3
1.7,138,2771,4,1975,3,0,41
1.3,192,1999,4,2024,1,1,53
3.8,372,2921,10,1983,3,1,22.1
2,128,3052,4,1999,2,1,43.7
1.7,171,2524,4,1982,3,2,41
4.5,476,3249,12,1997,0,1,14.5
4.1,377,3029,10,1984,0,1,20.4
2.2,259,2302,6,1988,0,0,36.9
4.9,431,3920,12,1994,1,1,13.7
3.3,286,3059,8,2001,0,2,32.7
2.6,219,2922,6,1989,2,0,34.8
3.4,288,2716,8,2013,3,2,33.4
1.6,175,2255,4,2007,1,0,46.4
4.2,367,3464,10,1976,1,0,16.6
4.3,409,3617,10,2015,2,1,23.2
1.8,189,3044,4,2012,3,2,43.7
1.8,196,3048,4,1982,0,2,38.3
4,344,3747,10,2022,0,2,27.7
3.5,303,2749,8,2016,3,0,34.5
2.5,270,2722,6,2006,0,2,39.7
1.4,108,2527,3,1981,3,1,46.6
4.3,370,3695,10,1970,1,1,15.6
4.4,409,2934,10,1988,2,0,18.1
5.1,440,3357,12,2002,1,0,14.4
1.7,104,3023,3,1989,3,1,44.4
1.7,177,2998,4,2011,1,2,45.5
1,123,2373,3,1977,1,1,45
1.5,115,2942,4,2002,3,0,45.7
2.7,186,3223,6,1990,2,1,36
2.3,267,2891,6,2022,1,1,41.8
2.6,230,2937,6,2007,3,2,39
1.6,199,2967,4,1989,0,0,39.1
1.9,184,2521,4,1997,0,0,43.1
3.4,333,3476,8,1972,1,1,19.8
3,304,3038,8,1994,2,2,30.4
1.9,174,2373,4,2012,1,2,48.8
1.9,115,2319,4,1989,2,1,45.8
1.8,112,2440,4,1991,0,2,45.9
2,179,3113,4,2021,2,0,43.5
1.9,127,2170,4,1983,3,0,43.3
4.3,358,2976,10,2009,1,0,25
2.7,228,2994,6,2004,2,1,36.5
2.9,259,2636,8,2011,1,1,35.7
1.8,181,2359,4,2015,0,1,47.5
1.4,162,2825,4,2009,1,1,46.4
2.2,182,3043,6,2011,3,0,38.3
5.1,455,3936,12,1977,0,2,9.4
1.5,119,2619,3,1987,1,2,47
4,377,3726,10,2011,3,2,21.5
3.6,261,3435,8,1979,1,1,26.7
1.5,144,3035,4,1997,3,1,43
1.7,117,2730,4,2020,2,2,49.3
2,119,2455,4,2015,0,0,51
1.4,75,2738,3,1982,1,0,44.6
1.8,172,2873,4,1979,3,2,38.8
2,142,2787,4,2014,1,2,47.3
2.4,242,2679,6,1987,3,2,35.5
2.3,259,2515,6,2012,3,2,40.4
1.9,193,2397,4,1971,2,2,40.6
4.9,395,3739,12,2015,3,0,16.5
2.7,182,2439,6,1982,2,2,36.6
1.6,148,2838,4,2013,3,2,48.1
3,252,2999,8,1973,3,0,26.5
2.3,237,2533,6,2011,3,2,40.1
3.5,302,2904,8,1998,0,2,31.1
3.1,317,2581,8,2008,1,2,33
2.5,195,2809,6,2016,1,2,42.9
2.8,261,3050,6,2006,0,0,34.8
3.6,295,3177,8,2004,1,1,31.1
2.6,263,3347,6,1994,3,1,31
3.1,286,2824,8,2017,1,0,34.8
3.7,309,2832,8,2022,0,1,35.6
3.6,333,2924,8,2007,3,1,30.2
2,134,2291,4,2003,3,0,48.1
2.9,293,3436,8,2017,3,1,32.2
1.4,113,2484,4,2024,3,2,51.8
2.2,200,2980,6,2024,0,2,42.6
2.6,209,2638,6,2013,3,1,41.8
1.3,197,2093,4,2020,0,2,52.1
1.6,153,2339,3,1994,2,0,46
1.8,184,3107,4,1986,0,0,39.2
1.4,136,2475,4,1975,0,1,42.1
1.5,101,2313,3,1974,2,1,45.7
2.4,264,2921,6,1990,3,2,32.8
3.9,397,3576,10,1983,1,1,16.5
1.5,145,2182,3,1988,2,1,47.7
3.7,408,2947,10,2000,2,2,22.5
3.3,274,3198,8,2001,1,1,30.8
2,162,2649,4,2011,2,2,44.9
1.8,192,3005,4,2014,1,2,45.8
2.8,181,2661,6,2009,0,2,43.3
1.3,158,2927,3,2010,3,2,48.3
3.1,315,2568,8,1974,1,2,29.9
4.9,417,3653,12,2006,0,2,15.9
1.5,159,2943,4,1991,2,0,40.8
2.6,267,3352,6,2024,3,0,35.7
1.8,126,2991,4,1992,0,2,42.2
4.1,370,3637,10,1985,0,1,19.4
1,81,2101,3,1974,3,2,49.4
2.5,197,2591,6,2019,3,1,44.5
2.9,269,2795,6,2012,1,1,38.4
4.1,363,3385,10,2012,1,1,25
1,105,2896,3,1975,1,0,43.1
1.6,157,2105,3,1998,0,1,47.3
2.2,206,2826,6,2017,2,2,43.9
1.5,165,2532,4,1995,0,1,45.2
3.2,292,3067,8,1972,1,1,25.5
2.5,232,3080,6,1983,1,2,34.7
1.3,194,2484,4,1984,1,0,42.2
1.2,128,2843,3,2004,2,1,47.6
3.3,334,3033,8,2021,1,1,33.8
1.7,146,2401,4,1980,0,2,42.7
3.6,317,3366,8,2001,2,1,25.8
1.9,143,3083,4,1994,3,2,40.7
3.7,327,3002,10,1982,0,2,24.7
3,275,3233,8,1984,2,0,28.9
2.1,179,3172,4,1975,1,1,34.8
1.5,140,2794,3,1996,2,0,46.3
4.2,356,2934,10,1994,2,0,21.8
3.3,309,3459,8,2022,0,1,32
3.4,253,3177,8,1982,1,0,27.5
3.7,379,2783,10,1990,1,2,25.7
3.5,309,3227,8,2009,3,1,28.3
2,134,2732,4,2002,3,1,44.3
3.1,304,3137,8,2014,2,0,33.5
1.1,93,2789,3,2006,0,1,50.9
2.9,278,2906,8,2017,2,0,33.6
2.3,269,3223,6,1994,0,1,32.3
2.1,142,2777,4,1993,1,1,43.2
5,411,3345,12,2014,1,0,20.8
1.5,143,2540,3,2023,1,1,53.2
2.8,195,2640,6,1976,3,1,35.3
1.5,197,2478,4,2010,3,0,45.6
1.3,187,2961,4,2012,1,2,45.2
1.4,141,2186,4,1991,2,0,47.3
2.8,192,2464,6,1979,0,1,36.5
2.7,195,2615,6,1983,2,1,35.2
1.6,148,2929,4,2003,3,1,44
1.5,129,2392,4,1976,2,1,43.1
3.1,277,3501,8,2010,2,1,31.3
4.7,442,3564,12,2005,3,1,15.3
2.9,254,3288,6,1987,1,0,30.2
2,145,3102,4,2009,3,0,44.3
2,155,3096,4,1985,0,2,39.4
5,450,3517,12,2014,2,2,19.1
1.5,131,2889,4,1984,1,2,43.2
4.3,367,2899,10,1976,3,0,18.1
1.7,102,2813,3,1988,0,1,44.1
1.7,117,2863,4,2011,0,1,46.8
1,130,2125,3,1984,0,0,47.7
1.8,146,2482,4,2008,2,0,47.8
3.8,383,3687,10,1980,0,0,15.7
1,118,2319,3,1971,2,0,42.9
3.1,307,2761,8,2023,3,2,36.2
1.5,199,2415,4,2017,1,1,47.8
1.6,137,2239,4,2021,1,1,50.8
1.6,162,2410,4,1980,3,2,43.6
2.8,226,2742,6,1979,0,2,33.2
2.5,181,3198,6,2011,2,1,39.2
3.4,266,2693,8,1988,1,1,30.5
4.1,335,3548,10,2013,2,0,24.7
5,397,3301,12,1980,2,0,13.2
